"freight_cost_usd","line.item.insurance..usd.","shipment.mode","country","product.group","sub.classification","line.item.quantity","line.item.value","weight_kilograms","pack.price","dosage","scheduled.delivery.date","delivered.to.client.date","shipment_mode_encoded","country_encoded","product_group_encoded","sub_classification_encoded","scheduled_delivery_date","delivered_to_client_date","delivery_time","delivery_category"
7575.6,25.01,"Air","Vietnam","ARV","Adult",10780,15631,502,1.45,30,"19-Aug-08","19-Aug-08",1,41,3,2,2008-08-19,2008-08-19,0,"On Time"
5869.655,17.7,"Truck","South Africa","ARV","Adult",2000,11060,1047,5.53,150,"20-Aug-08","21-May-08",4,34,3,2,2008-08-20,2008-05-21,-91,"Early"
5869.655,26.61,"Truck","South Africa","ARV","Adult",1000,16630,1047,16.63,300,"20-Aug-08","14-May-08",4,34,3,2,2008-08-20,2008-05-14,-98,"Early"
5869.655,0.7,"Truck","South Africa","ARV","Pediatric",30,435.9,1047,14.53,10,"20-Aug-08","8-May-08",4,34,3,6,2008-08-20,2008-05-08,-104,"Early"
2851.72,154.08,"Air","Haiti","HRDT","HIV test",1123,78610,257,70,0,"27-Oct-08","27-Oct-08",1,17,4,3,2008-10-27,2008-10-27,0,"On Time"
30408.04,910.85,"Air","Rwanda","ARV","Adult",47879,569281.31,5311,11.89,150,"23-Jul-08","22-Jul-08",1,31,3,2,2008-07-23,2008-07-22,-1,"Early"
38120.96,1160.86,"Air","Rwanda","ARV","Adult",61021,725539.69,6768,11.89,150,"23-Jul-08","23-Jul-08",1,31,3,2,2008-07-23,2008-07-23,0,"On Time"
5869.655,59.24,"Air","Vietnam","ARV","Adult",4300,37023,1047,8.61,150,"19-Sep-08","19-Sep-08",1,41,3,2,2008-09-19,2008-09-19,0,"On Time"
5822.44,41.83,"Air","Vietnam","ARV","Adult",18030,26143.5,1114,1.45,30,"3-Oct-08","3-Oct-08",1,41,3,2,2008-10-03,2008-10-03,0,"On Time"
5869.655,1.06,"Truck","South Africa","ARV","Adult",50,663.5,1047,13.27,300,"10-Jul-08","14-Jul-08",4,34,3,2,2008-07-10,2008-07-14,4,"Late"
5869.655,1.14,"Truck","South Africa","ARV","Pediatric",250,715,1047,2.86,50,"10-Jul-08","8-Jul-08",4,34,3,6,2008-07-10,2008-07-08,-2,"Early"
